#{"t_start": 1733096099.8957553, "env_id": "None"}
r,l,t
-87.26669,512,1942.134813
-87.26669,512,1942.134821
-87.26669,512,1942.134827
-87.26669,512,1942.134834
-87.26669,512,1942.13484
-87.26669,512,1942.134847
-74.91384,512,2120.370159
-74.91384,512,2120.370222
-74.91384,512,2120.370232
-74.91384,512,2120.370241
-74.91384,512,2120.370249
-74.91384,512,2120.370257
-74.91384,512,2120.370265
-74.91384,512,2120.370271
-73.45419,512,2133.218038
-73.45419,512,2133.218093
-73.45419,512,2133.218103
-73.45419,512,2133.21811
-73.45419,512,2133.218117
-73.45419,512,2133.218124
-73.45419,512,2133.21813
-73.45419,512,2133.218137
-73.52674,512,2145.589165
-73.52674,512,2145.589218
-73.52674,512,2145.589227
-73.52674,512,2145.589235
-73.52674,512,2145.589242
-73.52674,512,2145.589248
-73.52674,512,2145.589255
-73.52674,512,2145.589262
-73.205574,512,2324.768586
-73.205574,512,2324.768637
-73.205574,512,2324.768647
-73.205574,512,2324.768654
-73.205574,512,2324.768661
-73.205574,512,2324.768667
-73.205574,512,2324.768673
-73.205574,512,2324.76868
-72.65347,512,2337.315816
-72.65347,512,2337.315874
-72.65347,512,2337.315886
-72.65347,512,2337.315895
-72.65347,512,2337.315902
-72.65347,512,2337.315912
-72.65347,512,2337.315919
-72.65347,512,2337.315926
-72.63498,512,2349.661629
-72.63498,512,2349.661688
-72.63498,512,2349.661698
-72.63498,512,2349.661705
-72.63498,512,2349.661711
-72.63498,512,2349.661718
-72.63498,512,2349.661725
-72.63498,512,2349.661731
-68.19507,512,2531.855813
-68.19507,512,2531.855865
-68.19507,512,2531.855874
-68.19507,512,2531.855881
-68.19507,512,2531.855888
-68.19507,512,2531.855894
-68.19507,512,2531.855901
-68.19507,512,2531.855907
-67.30421,512,2544.369927
-67.30421,512,2544.369979
-67.30421,512,2544.369988
-67.30421,512,2544.369995
-67.30421,512,2544.370002
-67.30421,512,2544.370009
-67.30421,512,2544.370015
-67.30421,512,2544.380511
-67.3047,512,2556.931481
-67.3047,512,2556.931535
-67.3047,512,2556.931544
-67.3047,512,2556.931551
-67.3047,512,2556.931557
-67.3047,512,2556.931563
-67.3047,512,2556.93157
-67.3047,512,2556.931576
-56.9012,512,2737.633997
-56.9012,512,2737.634048
-56.9012,512,2737.634057
-56.9012,512,2737.634064
-56.9012,512,2737.63407
-56.9012,512,2737.634077
-56.9012,512,2737.634083
-56.9012,512,2737.63409
-55.866783,512,2749.999223
-55.866783,512,2749.999274
-55.866783,512,2749.999283
-55.866783,512,2749.99929
-55.866783,512,2749.999297
-55.866783,512,2749.999303
-55.866783,512,2749.99931
-55.866783,512,2749.999316
-55.874847,512,2762.447746
-55.874847,512,2762.447798
-55.874847,512,2762.447808
-55.874847,512,2762.447815
-55.874847,512,2762.447821
-55.874847,512,2762.447828
-55.874847,512,2762.447834
-55.874847,512,2762.447841
-56.917816,512,2948.16481
-56.917816,512,2948.164865
-56.917816,512,2948.164874
-56.917816,512,2948.164881
-56.917816,512,2948.164887
-56.917816,512,2948.164894
-56.917816,512,2948.164901
-56.917816,512,2948.164907
-57.74064,512,2960.675056
-57.74064,512,2960.675117
-57.74064,512,2960.675127
-57.74064,512,2960.675134
-57.74064,512,2960.675141
-57.74064,512,2960.675147
-57.74064,512,2960.675153
-57.74064,512,2960.67516
-57.737827,512,2973.320493
-57.737827,512,2973.320544
-57.737827,512,2973.320554
-57.737827,512,2973.32056
-57.737827,512,2973.320567
-57.737827,512,2973.320574
-57.737827,512,2973.32058
-57.737827,512,2973.320587
-56.469006,512,3160.148305
-56.469006,512,3160.14836
-56.469006,512,3160.148369
-56.469006,512,3160.148377
-56.469006,512,3160.148386
-56.469006,512,3160.148392
-56.469006,512,3160.148399
-56.469006,512,3160.148406
-56.98993,512,3172.462934
-56.98993,512,3172.462992
-56.98993,512,3172.463002
-56.98993,512,3172.463009
-56.98993,512,3172.463016
-56.98993,512,3172.463023
-56.98993,512,3172.463029
-56.98993,512,3172.463036
-56.990063,512,3184.795829
-56.990063,512,3184.795882
-56.990063,512,3184.795891
-56.990063,512,3184.795897
-56.990063,512,3184.795904
-56.990063,512,3184.795911
-56.990063,512,3184.795918
-56.990063,512,3184.795924
-64.144485,512,3373.006348
-64.144485,512,3373.016039
-64.144485,512,3373.016064
-64.144485,512,3373.016073
-64.144485,512,3373.01608
-64.144485,512,3373.016087
-64.144485,512,3373.016093
-64.144485,512,3373.0161
-65.34444,512,3385.459727
-65.34444,512,3385.459781
-65.34444,512,3385.45979
-65.34444,512,3385.459797
-65.34444,512,3385.459803
-65.34444,512,3385.45981
-65.34444,512,3385.459816
-65.34444,512,3385.459823
-65.35186,512,3397.879841
-65.35186,512,3397.879895
-65.35186,512,3397.879906
-65.35186,512,3397.879915
-65.35186,512,3397.879922
-65.35186,512,3397.87993
-65.35186,512,3397.879937
-65.35186,512,3397.879944
-60.14163,512,3588.58142
-60.14163,512,3588.581474
-60.14163,512,3588.581484
-60.14163,512,3588.581491
-60.14163,512,3588.581498
-60.14163,512,3588.581505
-60.14163,512,3588.581511
-60.14163,512,3588.581518
-59.369232,512,3601.089595
-59.369232,512,3601.089653
-59.369232,512,3601.089662
-59.369232,512,3601.089669
-59.369232,512,3601.089676
-59.369232,512,3601.089683
-59.369232,512,3601.089689
-59.369232,512,3601.089696
-59.3689,512,3613.322398
-59.3689,512,3613.322464
-59.3689,512,3613.322478
-59.3689,512,3613.32249
-59.3689,512,3613.3225
-59.3689,512,3613.32251
-59.3689,512,3613.322521
-59.3689,512,3613.322531
-61.86354,512,3804.952229
-61.86354,512,3804.952281
-61.86354,512,3804.952291
-61.86354,512,3804.952298
-61.86354,512,3804.952305
-61.86354,512,3804.952312
-61.86354,512,3804.952318
-61.86354,512,3804.952324
-62.291416,512,3817.413123
-62.291416,512,3817.413172
-62.291416,512,3817.413181
-62.291416,512,3817.413188
-62.291416,512,3817.413195
-62.291416,512,3817.413202
-62.291416,512,3817.413208
-62.291416,512,3817.413214
-62.291264,512,3829.666368
-62.291264,512,3829.666423
-62.291264,512,3829.666433
-62.291264,512,3829.66644
-62.291264,512,3829.666447
-62.291264,512,3829.666453
-62.291264,512,3829.683583
-62.291264,512,3829.68361
-57.557858,512,4041.438971
