time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/std,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/n_updates,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,train/value_loss,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,eval/mean_reward,eval/success_rate,eval/mean_ep_length
1024,1,292,3,,,,,,,,,,,,,,,,,
2048,2,284,7,0.01028741616755724,0.99365234375,0.2855970420874655,0.2,28.553880095481873,10,689.45776,-0.0819554328918457,0.00018448101570466428,0.5015392899513245,5.404831402748823,,,,,,
3072,3,346,8,0.01057775504887104,0.99375,0.3161695387447253,0.2,28.318504643440246,20,1913.1663,0.45683401823043823,0.00018448101570466428,0.4814305603504181,1.172588311880827,,,,,,
4096,4,367,11,0.010905575938522816,0.99375,0.35287131648510695,0.2,28.05982748270035,30,2362.2773,0.5750633776187897,0.00018448101570466428,0.49189433455467224,1.470034347102046,-207.0115966796875,0.0,512.0,,,
5120,5,400,12,0.01126020960509777,0.99375,0.330917132855393,0.2,27.775296318531037,40,3679.7527,-2.7077572345733643,0.00018448101570466428,0.4550820291042328,0.9424808013485745,-207.0115966796875,0.0,512.0,,,
6144,6,423,14,0.011661545373499393,0.99375,0.3231703095836565,0.2,27.47717229127884,50,4600.1797,0.22287756204605103,0.00018448101570466428,0.43677014112472534,0.3780732101178728,-207.0115966796875,0.0,512.0,,,
7168,7,444,16,0.012196187861263752,0.99375,0.3074680083664134,0.2,27.114350402355193,60,3740.0876,0.9159369990229607,0.00018448101570466428,0.40925702452659607,0.07252885280759074,-207.0115966796875,0.0,512.0,,,
8192,8,447,18,0.012593952938914299,0.99375,0.3282939538359642,0.2,26.75390019416809,70,4916.9834,0.6928088366985321,0.00018448101570466428,0.475944846868515,0.1398642460582778,-214.2935028076172,0.0,512.0,,,
9216,9,461,19,0.013094876892864704,0.99375,0.29508138773962855,0.2,26.44536119699478,80,5747.791,0.7994122058153152,0.00018448101570466428,0.39220547676086426,0.05850136344670318,-214.2935028076172,0.0,512.0,,,
10240,10,473,21,0.013581832870841026,0.99375,0.3570233096368611,0.2,26.103199970722198,90,6034.584,0.13027751445770264,0.00018448101570466428,0.4669906795024872,0.03562545140448492,-214.2935028076172,0.0,512.0,,,
11264,11,483,23,0.013946895487606525,0.99375,0.2867143056355417,0.2,25.810015749931335,100,22468.062,0.889846995472908,0.00018448101570466428,0.4347202181816101,0.1041844715597108,-214.2935028076172,0.0,512.0,,,
12288,12,480,25,0.014376659877598286,0.99375,0.2363967148354277,0.2,25.555380415916442,110,19708.531,0.5955491065979004,0.00018448101570466428,0.3387283980846405,0.06312702477443963,-192.13328552246094,0.0,512.0,,,
13312,13,489,27,0.014902966096997261,0.99375,0.25156515603885055,0.2,25.25505703687668,120,14555.049,0.77923883497715,0.00018448101570466428,0.33038705587387085,0.018857927455974276,-192.13328552246094,0.0,512.0,,,
14336,14,496,28,0.015303588472306728,0.99375,0.29388524033129215,0.2,24.969613873958586,130,11557.195,0.6699163615703583,0.00018448101570466428,0.4228476285934448,0.07529161886777729,-192.13328552246094,0.0,512.0,,,
15360,15,503,30,0.015607512556016445,0.99375,0.3442870382219553,0.2,24.766535258293153,140,19515.066,-0.17917978763580322,0.00018448101570466428,0.47271621227264404,0.20849412474781276,-192.13328552246094,0.0,512.0,,,
16384,16,500,32,0.015953540802001953,0.99375,0.349115164577961,0.2,24.57826759815216,150,21106.312,0.3274420499801636,0.00018448101570466428,0.4659476578235626,0.09109948734985665,-205.8533477783203,0.0,512.0,,,
17408,17,502,34,0.01634875126183033,0.99375,0.32442355384118854,0.2,24.378095579147338,160,20197.049,0.48823463916778564,0.00018448101570466428,0.42512956261634827,0.11566741880960763,-199.6432647705078,0.030303030303030304,496.75757575757575,,,
18432,18,507,36,0.016786377876996994,0.99375,0.2966178525122814,0.2,24.144900131225587,170,18601.56,0.18688476085662842,0.00018448101570466428,0.4047316014766693,0.0973516418831423,-199.6432647705078,0.030303030303030304,496.75757575757575,,,
19456,19,511,38,0.017345905303955078,0.99375,0.3187855131691322,0.2,23.869843673706054,180,23589.492,0.8399304002523422,0.00018448101570466428,0.4092472195625305,0.029069441847968846,-199.6432647705078,0.030303030303030304,496.75757575757575,,,
20480,20,508,40,0.017909225076436996,0.99375,0.3163121002726257,0.2,23.586046361923216,190,26400.508,0.7357054054737091,0.00018448101570466428,0.3693036735057831,0.027521686052205042,-203.71591186523438,0.025,499.425,,,
21504,21,508,42,0.018615981563925743,0.99375,0.3000244546448812,0.2,23.26328535079956,200,14266.443,0.9521766677498817,0.00018448101570466428,0.366468608379364,0.007985211686172989,-203.74937438964844,0.024390243902439025,499.7317073170732,,,
22528,22,511,44,0.019322412088513374,0.99375,0.28807467758306304,0.2,22.91951220035553,210,19447.266,0.5700194239616394,0.00018448101570466428,0.36290857195854187,0.006978883939154912,-203.74937438964844,0.024390243902439025,499.7317073170732,,,
23552,23,515,45,0.020028138533234596,0.99375,0.30835022232495246,0.2,22.58859351873398,220,22966.258,0.6987840533256531,0.00018448101570466428,0.39131078124046326,0.005146876887738472,-203.74937438964844,0.024390243902439025,499.7317073170732,,,
