time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/iterations,train/clip_range,train/entropy_loss,train/approx_kl,train/std,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/success_rate,eval/mean_reward
,,,800000,,,,0.1,28.67094898223877,0.33512133,0.010005822405219078,1.124390959739685,0.23422765731811523,0.1259065680205822,0.4599609375,1.379148006439209,0.0002,82,512.0,0.0,-186.19625854492188
1336,604,-185.5536346435547,807424,0.0,512.0,83,,,,,,,,,,,,,,
1348,605,-187.4256591796875,817152,0.0,512.0,84,0.1,28.670753479003906,0.28866103,0.010006073862314224,1.3188955187797546,0.3304736018180847,0.13785641780123115,0.4560546875,1.5104707479476929,0.0002,83,,,
1360,607,-191.08456420898438,826880,0.0,512.0,85,0.1,28.670525550842285,0.22395326,0.010006331838667393,1.094371736049652,0.24921870231628418,0.08416960434988141,0.451171875,1.3004363775253296,0.0002,84,,,
1372,609,-194.77008056640625,836608,0.0,512.0,86,0.1,28.670337677001953,0.29917294,0.010006492026150227,1.323562204837799,0.07290750741958618,0.11550075560808182,0.470703125,1.502951741218567,0.0002,85,,,
1384,611,-196.0546112060547,846336,0.0,512.0,87,0.1,28.67019271850586,0.30225396,0.01000665407627821,1.2142847776412964,0.20154374837875366,0.1357459188438952,0.45703125,1.4212204217910767,0.0002,86,,,
,,,850000,,,,0.1,28.6700382232666,0.42449188,0.010006838478147984,1.1017475128173828,0.10511642694473267,0.14145764661952853,0.46875,1.405643105506897,0.0002,87,512.0,0.0,-211.35366821289062
1412,606,-195.7747802734375,856064,0.0,512.0,88,,,,,,,,,,,,,,
1423,608,-199.2852783203125,865792,0.0,512.0,89,0.1,28.669864654541016,0.536084,0.010007042437791824,1.1899679899215698,0.42496150732040405,0.23530000820755959,0.46875,1.6353260278701782,0.0002,88,,,
1435,609,-195.65274047851562,875520,0.0,512.0,90,0.1,28.669684410095215,0.3932483,0.010007238946855068,1.2808678150177002,0.10483884811401367,0.17186103342100978,0.451171875,1.582661509513855,0.0002,89,,,
1448,611,-195.62925720214844,885248,0.0,512.0,91,0.1,28.669516563415527,0.24924615,0.010007414035499096,1.1458001136779785,0.15311771631240845,0.12429527728818357,0.4619140625,1.380753755569458,0.0002,90,,,
1460,612,-192.86732482910156,894976,0.0,512.0,92,0.1,28.669321060180664,0.31499508,0.010007673874497414,1.0769758224487305,0.2175944447517395,0.125383242033422,0.4599609375,1.3404526710510254,0.0002,91,,,
,,,900000,,,,0.1,28.669113159179688,0.32616305,0.010007879696786404,0.9320739507675171,0.2560678720474243,0.09201115742325783,0.4501953125,1.098293662071228,0.0002,92,512.0,0.0,-190.0799102783203
1486,608,-196.57150268554688,904704,0.0,512.0,93,,,,,,,,,,,,,,
1499,610,-191.93165588378906,914432,0.0,512.0,94,0.1,28.668950080871582,0.510085,0.010008038952946663,1.4030103087425232,0.3429803252220154,0.32711743167601526,0.4599609375,1.9409127235412598,0.0002,93,,,
1510,611,-193.7042999267578,924160,0.0,512.0,95,0.1,28.668763160705566,0.2980972,0.010008296929299831,0.9434413313865662,0.30561012029647827,0.14594855718314648,0.4609375,1.241330862045288,0.0002,94,,,
1523,613,-191.11199951171875,933888,0.0,512.0,96,0.1,28.66855525970459,0.4281177,0.010008503682911396,1.1263042092323303,0.11767297983169556,0.14259763155132532,0.4755859375,1.3910495042800903,0.0002,95,,,
1535,614,-191.4375762939453,943616,0.0,512.0,97,0.1,28.66837978363037,0.45350623,0.010008689947426319,0.6861391365528107,0.5210736691951752,0.15917339269071817,0.4677734375,1.0848137140274048,0.0002,96,,,
,,,950000,,,,0.1,28.668195724487305,0.48322392,0.010008913464844227,1.3023966550827026,-0.6535762548446655,0.14756218437105417,0.4697265625,1.5623934268951416,0.0002,97,512.0,0.0,-199.5918426513672
1561,610,-191.44256591796875,953344,0.0,512.0,98,,,,,,,,,,,,,,
1574,611,-196.02899169921875,963072,0.0,512.0,99,0.1,28.66795253753662,0.3681159,0.010009229183197021,1.3351661562919617,-0.2079981565475464,0.13913561403751373,0.466796875,1.4829051494598389,0.0002,98,,,
1585,613,-199.19259643554688,972800,0.0,512.0,100,0.1,28.667646408081055,0.3710441,0.010009595192968845,1.5470277667045593,-0.24101877212524414,0.09374742838554084,0.4677734375,1.633345603942871,0.0002,99,,,
1597,614,-201.74600219726562,982528,0.0,512.0,101,0.1,28.667372703552246,0.40864015,0.01000984013080597,1.8474140167236328,-0.8865475654602051,0.19273674208670855,0.474609375,1.9901925325393677,0.0002,100,,,
1610,616,-206.51895141601562,992256,0.0,512.0,102,0.1,28.667107582092285,0.2901214,0.010010184720158577,1.4872735738754272,-0.5243333578109741,0.14876538841053843,0.478515625,1.6684224605560303,0.0002,101,,,
,,,1000000,,,,0.1,28.666768074035645,0.32329178,0.010010597296059132,1.40116286277771,0.08873617649078369,0.15121654304675758,0.4658203125,1.5443037748336792,0.0002,102,512.0,0.0,-204.27890014648438
1636,612,-207.3244171142578,1001984,0.0,512.0,103,,,,,,,,,,,,,,
1648,613,-202.4644012451172,1011712,0.0,512.0,104,0.1,28.66639518737793,0.33990136,0.01001101452857256,1.5012035965919495,-0.5031450986862183,0.1626957068219781,0.4716796875,1.777590036392212,0.0002,103,,,
1660,615,-196.96205139160156,1021440,0.0,512.0,105,0.1,28.666024208068848,0.33437967,0.010011419653892517,0.9270857870578766,0.1444849967956543,0.1356432638131082,0.4658203125,1.1765210628509521,0.0002,104,,,
1672,616,-195.58106994628906,1031168,0.0,512.0,106,0.1,28.665630340576172,0.2524095,0.010011889971792698,0.8434457182884216,-0.545302152633667,0.1207983698695898,0.455078125,1.1778781414031982,0.0002,105,,,
1684,617,-194.09996032714844,1040896,0.0,512.0,107,0.1,28.66518783569336,0.21452636,0.010012404061853886,0.8077723979949951,0.16961729526519775,0.12184642162173986,0.4541015625,1.0591431856155396,0.0002,106,,,
,,,1050000,,,,0.1,28.664706230163574,0.27040976,0.010012962855398655,1.0328271389007568,-0.030978679656982422,0.16700492799282074,0.4609375,1.3876824378967285,0.0002,107,512.0,0.0,-197.2504425048828
1711,613,-189.67831420898438,1050624,0.0,512.0,108,,,,,,,,,,,,,,
1723,615,-188.4701385498047,1060352,0.0,512.0,109,0.1,28.664264678955078,0.17071684,0.010013383813202381,0.7465540766716003,-0.7429599761962891,0.09038480743765831,0.451171875,1.014790415763855,0.0002,108,,,
1735,616,-191.0408935546875,1070080,0.0,512.0,110,0.1,28.663883209228516,0.17771682,0.01001381129026413,0.7866527140140533,0.25204312801361084,0.10893531702458858,0.4521484375,1.102856159210205,0.0002,109,,,
1747,617,-191.56349182128906,1079808,0.0,512.0,111,0.1,28.663503646850586,0.20905665,0.010014229454100132,1.0323204696178436,0.07206869125366211,0.12478843424469233,0.4443359375,1.2804148197174072,0.0002,110,,,
1759,619,-197.2400360107422,1089536,0.0,512.0,112,0.1,28.663127899169922,0.2647155,0.010014642961323261,1.1110343933105469,-0.4029139280319214,0.19488581828773022,0.466796875,1.4902087450027466,0.0002,111,,,
1771,620,-198.97470092773438,1099264,0.0,512.0,113,0.1,28.66274356842041,0.27107555,0.010015083476901054,1.7950732111930847,-0.061985015869140625,0.20607021637260914,0.4599609375,2.0196733474731445,0.0002,112,,,
,,,1100000,,,,0.1,28.66238498687744,0.23269401,0.010015444830060005,1.1769170761108398,-0.08141124248504639,0.08238514605909586,0.458984375,1.2513628005981445,0.0002,113,512.0,0.0,-203.06639099121094
1797,616,-201.2435760498047,1108992,0.0,512.0,114,,,,,,,,,,,,,,
1809,618,-199.94769287109375,1118720,0.0,512.0,115,0.1,28.662092208862305,0.2902496,0.01001573447138071,1.3215473890304565,-0.12892448902130127,0.13593524228781462,0.46875,1.493917465209961,0.0002,114,,,
1821,619,-201.90011596679688,1128448,0.0,512.0,116,0.1,28.66180992126465,0.24341026,0.010016069747507572,0.8514062762260437,0.2542317509651184,0.13721811212599277,0.4609375,1.1380442380905151,0.0002,115,,,
1833,620,-202.3251495361328,1138176,0.0,512.0,117,0.1,28.6615629196167,0.27238595,0.010016284883022308,1.6219438314437866,-0.38233351707458496,0.09334648121148348,0.462890625,1.669731855392456,0.0002,116,,,
