time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,rollout/success_rate,train/approx_kl,train/explained_variance,train/std,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
118784,257,461,375.71624755859375,29,512.0,0.0,7.0659275,0.94917893409729,0.009993527084589005,0.8109419345855713,0.0004,0.5,0.6486879885196686,28.681825637817383,28,0.2,0.24832880310714245,,,
122880,258,474,375.99346923828125,30,512.0,0.0,8.907351,0.9226638823747635,0.009993374347686768,0.7455096244812012,0.0004,0.4921875,0.7296810746192932,28.681994438171387,29,0.2,0.21205219253897667,,,
126976,259,489,368.9512634277344,31,502.2,0.02,3.8877933,0.9359151050448418,0.009993286803364754,0.5194771885871887,0.0004,0.498046875,0.4191944748163223,28.682104110717773,30,0.2,0.15721941366791725,,,
131072,260,503,361.92742919921875,32,492.4,0.04,6.2332897,0.9214106723666191,0.00999308843165636,0.7924922108650208,0.0004,0.494140625,0.830063670873642,28.682233810424805,31,0.2,0.20640034042298794,,,
135168,260,518,351.16632080078125,33,477.7,0.07,5.046385,0.9202314913272858,0.009993025101721287,1.4426463842391968,0.0004,0.490234375,0.9812589585781097,28.682353019714355,32,0.2,0.4857814982533455,,,
139264,261,532,347.486572265625,34,472.72,0.08,12.793896,0.946699358522892,0.009993146173655987,3.7240335941314697,0.0004,0.498046875,0.5280615389347076,28.68232822418213,33,0.2,1.7709127888083458,,,
143360,262,546,346.4925842285156,35,472.72,0.08,6.7939477,0.9005846455693245,0.009993438608944416,1.0487074851989746,0.0004,0.498046875,1.1072028875350952,28.682143211364746,34,0.2,0.32579435035586357,,,
147456,263,560,347.0845642089844,36,472.72,0.08,8.268063,0.9046655222773552,0.00999358482658863,0.8385432958602905,0.0004,0.498046875,0.9943977296352386,28.681946754455566,35,0.2,0.24430812522768974,,,
150000,,,,,,,4.970804,0.9478364586830139,0.0099935969337821,1.5773894786834717,0.0004,0.48828125,0.5308636873960495,28.681876182556152,36,0.2,0.6762894112616777,0.25,290.48663330078125,389.55
151552,252,599,347.4715881347656,37,472.72,0.08,,,,,,,,,,,,,,
155648,253,613,344.9189453125,38,467.73,0.09,3.2181964,0.9263637885451317,0.009993569925427437,0.7286328077316284,0.0004,0.49609375,0.8318039178848267,28.681883811950684,37,0.2,0.14980647526681423,,,
159744,254,628,338.3380432128906,39,457.9,0.11,2.3248956,0.9441968649625778,0.009993682615458965,0.6393072605133057,0.0004,0.486328125,0.4354410022497177,28.681846618652344,38,0.2,0.20597197115421295,,,
163840,255,642,338.1797180175781,40,457.9,0.11,4.5087843,0.8869694247841835,0.009993740357458591,0.6381456851959229,0.0004,0.498046875,0.8050446510314941,28.681771278381348,39,0.2,0.1452013123780489,,,
167936,255,656,337.1750793457031,41,457.9,0.11,4.632818,0.8870524689555168,0.009993827901780605,0.628732442855835,0.0004,0.49609375,0.5918915122747421,28.681706428527832,40,0.2,0.11846564477309585,,,
172032,256,670,337.0010681152344,42,457.74,0.11,4.3843346,0.8474333584308624,0.009993930347263813,0.7145003080368042,0.0004,0.498046875,0.9184018969535828,28.681621551513672,41,0.2,0.18926331028342247,,,
176128,257,684,340.64434814453125,43,463.86,0.1,4.339367,0.9257928729057312,0.009994206950068474,0.6643610596656799,0.0004,0.5,0.6318848133087158,28.68145179748535,42,0.2,0.12978530023247004,,,
180224,257,699,342.6961364746094,44,468.59,0.09,5.840129,0.8306921422481537,0.009994755499064922,0.8103407025337219,0.0004,0.498046875,1.2563931941986084,28.681081771850586,43,0.2,0.13774461043067276,,,
184320,258,712,349.2601623535156,45,478.59,0.07,5.5779247,0.8591318130493164,0.009995106607675552,0.7472036480903625,0.0004,0.498046875,0.8321277499198914,28.680676460266113,44,0.2,0.1652316376566887,,,
188416,259,727,349.2030334472656,46,478.59,0.07,7.6678877,0.8750792071223259,0.009995434433221817,0.7522542476654053,0.0004,0.498046875,0.5688415169715881,28.68036937713623,45,0.2,0.22910175565630198,,,
192512,259,740,348.6560974121094,47,478.59,0.07,8.415964,0.913726769387722,0.009995690546929836,0.6151789426803589,0.0004,0.5,0.6641662418842316,28.68010711669922,46,0.2,0.1572503405623138,,,
196608,260,755,347.9140319824219,48,478.59,0.07,12.256976,0.9061428532004356,0.009996035136282444,0.5949876308441162,0.0004,0.5,0.6895101368427277,28.679838180541992,47,0.2,0.1524963565170765,,,
200000,,,,,,,11.772913,0.9114029556512833,0.00999637320637703,0.5674355626106262,0.0004,0.5,0.5207302570343018,28.679533004760742,48,0.2,0.15919318282976747,0.0,366.16668701171875,512.0
200704,252,796,347.0758972167969,49,478.59,0.07,,,,,,,,,,,,,,
204800,252,810,350.1365966796875,50,483.58,0.06,11.418535,0.9035313725471497,0.009996647946536541,0.6486392021179199,0.0004,0.5,0.7660080194473267,28.679259300231934,49,0.2,0.15097017213702202,,,
208896,253,824,356.66534423828125,51,493.41,0.04,8.108074,0.8510601371526718,0.009996852837502956,0.5891228318214417,0.0004,0.5,0.690461277961731,28.679043769836426,50,0.2,0.14506859704852104,,,
212992,254,838,356.2240905761719,52,493.41,0.04,6.3326497,0.8376955837011337,0.009997081942856312,0.5502252578735352,0.0004,0.49609375,0.7711605429649353,28.67884922027588,51,0.2,0.14531217189505696,,,
217088,254,852,356.24591064453125,53,493.41,0.04,5.9248595,0.8668084889650345,0.009997309185564518,0.8154038190841675,0.0004,0.498046875,0.5361081659793854,28.678646087646484,52,0.2,0.3056804873049259,,,
221184,255,866,363.31817626953125,54,503.37,0.02,5.5108275,0.8788616731762886,0.00999748706817627,0.5623748302459717,0.0004,0.49609375,0.5412337481975555,28.678464889526367,53,0.2,0.1871598344296217,,,
225280,256,879,364.2854309082031,55,507.05,0.01,6.7505846,0.8715244978666306,0.009997622109949589,0.49227386713027954,0.0004,0.494140625,0.5561220794916153,28.678324699401855,54,0.2,0.1546173389069736,,,
229376,256,894,365.357177734375,56,507.05,0.01,8.506695,0.8785261586308479,0.009997767396271229,0.5252326726913452,0.0004,0.5,0.49492278695106506,28.678199768066406,55,0.2,0.14689769316464663,,,
233472,257,908,368.3243713378906,57,512.0,0.0,4.2448287,0.8647458404302597,0.009998065419495106,0.4999558627605438,0.0004,0.48828125,0.6374256312847137,28.678000450134277,56,0.2,0.14487234875559807,,,
237568,257,922,367.4246826171875,58,512.0,0.0,5.0994973,0.8576534539461136,0.009998534806072712,0.4094715714454651,0.0004,0.494140625,0.38871465623378754,28.67765522003174,57,0.2,0.13693727925419807,,,
241664,257,936,367.4130859375,59,512.0,0.0,5.068118,0.85520239174366,0.009999079629778862,0.5570456981658936,0.0004,0.494140625,0.4881242513656616,28.677200317382812,58,0.2,0.15872551128268242,,,
245760,258,951,366.37652587890625,60,512.0,0.0,6.0640316,0.8781364783644676,0.009999392554163933,0.5450137853622437,0.0004,0.498046875,0.46997785568237305,28.676815032958984,59,0.2,0.14419828727841377,,,
249856,258,965,364.6915283203125,61,512.0,0.0,7.7978745,0.7897087037563324,0.009999462403357029,0.6374190449714661,0.0004,0.5,0.6733056306838989,28.676642417907715,60,0.2,0.14776145620271564,,,
250000,,,,,,,6.7379885,0.73258376121521,0.009999549947679043,0.6570290327072144,0.0004,0.4921875,0.6410828828811646,28.6765718460083,61,0.2,0.178496774751693,0.0,353.6040344238281,512.0
253952,252,1006,363.6038818359375,62,512.0,0.0,,,,,,,,,,,,,,
258048,252,1020,362.39801025390625,63,512.0,0.0,6.2292852,0.6750112771987915,0.009999782778322697,0.6446951627731323,0.0004,0.5,0.7835392355918884,28.676427841186523,62,0.2,0.14539514854550362,,,
262144,253,1034,360.9833068847656,64,512.0,0.0,6.100767,0.29805052280426025,0.01000011432915926,0.7765107154846191,0.0004,0.49609375,0.9303841888904572,28.67617416381836,63,0.2,0.14431041851639748,,,
266240,253,1048,359.73516845703125,65,512.0,0.0,8.153418,0.5966755747795105,0.010000458918511868,0.5792570114135742,0.0004,0.5,0.5948418378829956,28.675869941711426,64,0.2,0.11860122345387936,,,
270336,254,1062,354.2889404296875,66,507.06,0.01,8.31196,0.5447704792022705,0.010000933893024921,0.7847127914428711,0.0004,0.5,1.0165334939956665,28.675500869750977,65,0.2,0.14709512935951352,,,
274432,254,1076,353.55828857421875,67,507.06,0.01,6.898442,0.7978356778621674,0.010001273825764656,0.49365800619125366,0.0004,0.4921875,0.40879110991954803,28.675134658813477,66,0.2,0.13747724401764572,,,
278528,255,1091,352.1540222167969,68,507.06,0.01,9.094585,0.5348271131515503,0.010001666843891144,1.1020667552947998,0.0004,0.49609375,0.9713394343852997,28.674805641174316,67,0.2,0.2838189690373838,,,
282624,255,1105,350.85784912109375,69,507.06,0.01,7.5463367,0.561907172203064,0.010001876391470432,0.6431264877319336,0.0004,0.49609375,0.7130369246006012,28.67453384399414,68,0.2,0.1433650217950344,,,
286720,256,1119,350.1249084472656,70,507.06,0.01,3.8198495,0.4607713222503662,0.010002008639276028,0.6072220802307129,0.0004,0.49609375,0.6911076903343201,28.674381256103516,69,0.2,0.13897245610132813,,,
290816,256,1133,349.2109069824219,71,507.06,0.01,6.2347736,0.6455770432949066,0.010002130642533302,0.7329352498054504,0.0004,0.498046875,0.4448760896921158,28.67426872253418,70,0.2,0.27490878850221634,,,
